TimeStamp,ch1,ch2,ch3,ch4
1213267.2269,5856.85,34685.19,35057.26,36237.77
1213267.2309,5860.81,34697.25,35069.9,36251.6
1213267.2349,5856.18,34696.01,35069.42,36251.36
1213267.2389,5863.0,34705.45,35079.05,36259.08
1213267.2429,5872.87,34706.55,35082.06,36263.14
1213267.2469,5870.39,34698.78,35073.43,36253.65
1213267.2509,5868.67,34702.35,35072.62,36248.4
1213267.2549,5881.41,34709.46,35084.92,36260.85
1213267.2589,5880.64,34710.79,35083.97,36261.66
1213267.2629,5891.47,34727.72,35092.79,36267.62
1213267.2669,5888.42,34717.95,35086.06,36262.85
1213267.2709,5893.52,34710.27,35089.59,36268.67
1213267.2749,5904.77,34725.81,35100.89,36280.06
1213267.2786,5896.0,34720.62,35095.98,36276.54
1213267.2826,5884.31,34718.23,35090.83,36272.77
1213267.2866,5866.58,34701.69,35078.48,36258.61
1213267.2906,5873.01,34711.98,35087.97,36264.71
1213267.2946,5869.29,34703.54,35083.68,36260.18
1213267.2986,5871.01,34704.45,35082.87,36256.22
1213267.3026,5872.11,34710.46,35088.3,36260.9
1213267.3066,5879.88,34715.08,35096.94,36270.43
1213267.3106,5876.78,34711.37,35098.8,36271.39
1213267.3146,5873.11,34709.98,35095.17,36268.76
1213267.3186,5886.6,34719.14,35104.95,36279.63
1213267.3226,5895.42,34728.1,35108.43,36281.26
1213267.3266,5890.99,34725.24,35101.85,36272.2
1213267.3306,5869.91,34691.53,35082.01,36254.46
1213267.3346,5857.9,34680.04,35065.37,36236.67
1213267.3386,5848.79,34672.31,35053.64,36225.94
1213267.3426,5843.74,34668.26,35047.82,36221.94
1213267.3466,5826.86,34650.28,35027.41,36203.34
1213267.3506,5819.18,34646.85,35020.64,36197.48
1213267.3546,5831.62,34661.11,35033.28,36212.16
1213267.3586,5823.14,34652.52,35028.13,36207.82
1213267.3626,5813.93,34642.84,35012.58,36195.52
1213267.3666,5809.45,34638.22,35009.91,36195.52
1213267.3706,5826.04,34648.37,35020.4,36206.06
1213267.3746,5835.77,34659.77,35025.03,36212.21
1213267.3786,5831.15,34664.35,35029.03,36217.5
