TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1213278.503,895.846,-188.734,-399.672,-918.75,-367.5,-1146.25,1263.12,-136.8,83.6
1213278.553,890.6,-189.344,-399.001,-1120.0,-437.5,-1242.5,1246.4,-136.8,66.88
1213278.603,890.539,-194.895,-399.245,-1443.75,-997.5,-1102.5,1255.52,-142.88,82.08
1213278.653,904.142,-190.381,-404.491,-1933.75,350.0,-1688.75,1260.08,-136.8,65.36
1213278.703,892.613,-187.209,-396.927,-971.25,603.75,-1723.75,1273.76,-155.04,72.96
1213278.753,889.868,-190.381,-393.389,-1435.0,428.75,-1575.0,1258.56,-152.0,68.4
1213278.803,893.101,-188.612,-393.511,-1303.75,-647.5,-1181.25,1266.16,-138.32,83.6
1213278.853,896.456,-191.357,-396.805,-1058.75,-927.5,-1058.75,1255.52,-141.36,65.36
1213278.903,896.212,-190.137,-398.94,-1758.75,-560.0,-1837.5,1258.56,-133.76,69.92
1213278.953,895.053,-188.246,-397.476,-1540.0,-883.75,-1426.25,1255.52,-135.28,83.6
1213279.003,894.565,-188.185,-396.256,-1828.75,-875.0,-1636.25,1252.48,-135.28,76.0
1213279.053,897.737,-182.817,-396.256,-2012.5,-1146.25,-1522.5,1269.2,-141.36,89.68
1213279.103,892.613,-186.599,-398.635,-2178.75,-1312.5,-1076.25,1252.48,-150.48,79.04
1213279.153,894.138,-185.623,-397.415,-1715.0,-1461.25,-1198.75,1260.08,-141.36,71.44
1213279.203,893.162,-187.087,-401.38,-1172.5,-1093.75,-1356.25,1269.2,-138.32,72.96
1213279.253,895.358,-185.806,-400.343,-1251.25,-1015.0,-1172.5,1257.04,-133.76,71.44
